Date,AAPL Searches
2021-07-01,42
2021-07-02,50
2021-07-03,13
2021-07-04,4
2021-07-06,54
2021-07-07,48
2021-07-08,69
2021-07-09,62
2021-07-10,15
2021-07-11,7
2021-07-12,49
2021-07-13,56
2021-07-14,61
2021-07-15,52
2021-07-16,58
2021-07-17,13
2021-07-18,7
2021-07-19,53
2021-07-20,58
2021-07-21,49
2021-07-22,49
2021-07-23,51
2021-07-24,11
2021-07-25,10
2021-07-26,58
2021-07-27,100
2021-07-28,91
2021-07-29,53
2021-07-30,49
2021-07-31,16
2021-08-01,7
2021-08-02,42
2021-08-03,42
2021-08-04,40
2021-08-05,33
2021-08-06,52
2021-08-07,10
2021-08-08,7
2021-08-09,36
2021-08-10,37
2021-08-11,41
2021-08-12,40
2021-08-13,36
2021-08-14,6
2021-08-15,8
2021-08-16,46
2021-08-17,55
2021-08-18,36
2021-08-19,39
2021-08-20,40
2021-08-21,9
2021-08-22,6
2021-08-23,40
2021-08-24,67
2021-08-25,43
2021-08-26,39
2021-08-27,33
2021-08-28,6
2021-08-29,8
2021-08-30,52
2021-08-31,46
2021-09-01,47
2021-09-02,43
2021-09-03,37
2021-09-04,7
2021-09-05,5
2021-09-06,8
2021-09-07,44
2021-09-08,52
2021-09-09,34
2021-09-10,56
2021-09-11,18
2021-09-12,13
2021-09-13,49
2021-09-14,68
2021-09-15,53
2021-09-16,34
2021-09-17,41
2021-09-18,6
2021-09-19,5
2021-09-20,49
2021-09-21,52
2021-09-22,38
2021-09-23,44
2021-09-24,36
2021-09-25,9
2021-09-26,7
2021-09-27,42
2021-09-28,34
2021-09-29,39
2021-09-30,32
2021-10-01,33
2021-10-02,7
2021-10-03,4
2021-10-04,35
2021-10-05,35
2021-10-06,29
2021-10-07,30
2021-10-08,25
2021-10-09,8
2021-10-10,5
2021-10-11,27
2021-10-12,35
2021-10-13,33
2021-10-14,30
2021-10-15,31
2021-10-16,6
2021-10-17,2
2021-10-18,32
2021-10-19,42
2021-10-20,33
2021-10-21,36
2021-10-22,27
2021-10-23,11
2021-10-24,6
2021-10-25,28
2021-10-26,38
2021-10-27,34
2021-10-28,71
2021-10-29,68
2021-10-30,11
2021-10-31,9
2021-11-01,38
2021-11-02,36
2021-11-03,32
2021-11-04,34
2021-11-05,33
2021-11-06,6
2021-11-07,5
2021-11-08,26
2021-11-09,28
2021-11-10,29
2021-11-11,33
2021-11-12,29
2021-11-13,8
2021-11-14,4
2021-11-15,31
2021-11-16,28
2021-11-17,25
2021-11-18,47
2021-11-19,50
2021-11-20,10
2021-11-21,6
2021-11-22,49
2021-11-23,40
2021-11-24,30
2021-11-25,10
2021-11-26,29
2021-11-27,9
2021-11-28,5
2021-11-29,36
2021-11-30,46
2021-12-01,50
2021-12-02,45
2021-12-03,42
2021-12-04,11
2021-12-05,6
2021-12-06,43
2021-12-07,50
2021-12-08,51
2021-12-09,56
2021-12-10,56
2021-12-11,16
2021-12-12,8
2021-12-13,56
2021-12-14,49
2021-12-15,44
2021-12-16,49
2021-12-17,46
2021-12-18,10
2021-12-19,7
2021-12-20,38
2021-12-21,41
2021-12-22,42
2021-12-23,44
2021-12-24,19
2021-12-25,9
2021-12-26,7
2021-12-27,43
2021-12-28,50
2021-12-29,34
2021-12-30,38
2021-12-31,26
2022-01-01,7
2022-01-02,4
2022-01-03,50
2022-01-04,54
2022-01-05,43
2022-01-06,43
2022-01-07,35
2022-01-08,9
2022-01-09,6
2022-01-10,38
2022-01-11,37
2022-01-12,44
2022-01-13,33
2022-01-14,38
2022-01-15,8
2022-01-16,7
2022-01-17,15
2022-01-18,28
2022-01-19,24
2022-01-20,24
