Date,BAC Searches
2021-07-01,46
2021-07-02,54
2021-07-03,6
2021-07-04,9
2021-07-05,9
2021-07-06,41
2021-07-07,59
2021-07-08,58
2021-07-09,69
2021-07-10,12
2021-07-11,9
2021-07-12,61
2021-07-13,69
2021-07-14,90
2021-07-15,66
2021-07-16,66
2021-07-17,9
2021-07-18,16
2021-07-19,65
2021-07-20,100
2021-07-21,63
2021-07-22,40
2021-07-23,52
2021-07-24,6
2021-07-25,3
2021-07-26,54
2021-07-27,67
2021-07-28,38
2021-07-29,25
2021-07-30,34
2021-07-31,9
2021-08-01,9
2021-08-02,54
2021-08-03,43
2021-08-04,33
2021-08-05,41
2021-08-06,40
2021-08-07,24
2021-08-08,16
2021-08-09,47
2021-08-10,50
2021-08-11,75
2021-08-12,75
2021-08-13,34
2021-08-14,19
2021-08-15,0
2021-08-16,41
2021-08-17,49
2021-08-18,66
2021-08-19,33
2021-08-20,66
2021-08-21,12
2021-08-22,13
2021-08-23,48
2021-08-24,58
2021-08-25,72
2021-08-26,50
2021-08-27,51
2021-08-28,9
2021-08-29,9
2021-08-30,47
2021-08-31,59
2021-09-01,47
2021-09-02,29
2021-09-03,36
2021-09-04,10
2021-09-05,7
2021-09-06,3
2021-09-07,50
2021-09-08,32
2021-09-09,41
2021-09-10,40
2021-09-11,10
2021-09-12,0
2021-09-13,38
2021-09-14,34
2021-09-15,51
2021-09-16,56
2021-09-17,34
2021-09-18,7
2021-09-19,10
2021-09-20,40
2021-09-21,49
2021-09-22,43
2021-09-23,44
2021-09-24,49
2021-09-25,13
2021-09-26,6
2021-09-27,46
2021-09-28,59
2021-09-29,31
2021-09-30,35
2021-10-01,42
2021-10-02,3
2021-10-03,6
2021-10-04,42
2021-10-05,51
2021-10-06,45
2021-10-07,35
2021-10-08,38
2021-10-09,14
2021-10-10,9
2021-10-11,52
2021-10-12,42
2021-10-13,24
2021-10-14,85
2021-10-15,77
2021-10-16,18
2021-10-17,9
2021-10-18,37
2021-10-19,25
2021-10-20,47
2021-10-21,45
2021-10-22,53
2021-10-23,13
2021-10-24,9
2021-10-25,39
2021-10-26,49
2021-10-27,53
2021-10-28,56
2021-10-29,41
2021-10-30,9
2021-10-31,7
2021-11-01,22
2021-11-02,35
2021-11-03,37
2021-11-04,22
2021-11-05,47
2021-11-06,13
2021-11-07,9
2021-11-08,32
2021-11-09,42
2021-11-10,28
2021-11-11,28
2021-11-12,39
2021-11-13,0
2021-11-14,0
2021-11-15,34
2021-11-16,46
2021-11-17,36
2021-11-18,27
2021-11-19,32
2021-11-20,18
2021-11-21,0
2021-11-22,35
2021-11-23,27
2021-11-24,42
2021-11-25,6
2021-11-26,18
2021-11-27,9
2021-11-28,9
2021-11-29,47
2021-11-30,32
2021-12-01,48
2021-12-02,33
2021-12-03,16
2021-12-04,9
2021-12-05,11
2021-12-06,41
2021-12-07,32
2021-12-08,32
2021-12-09,34
2021-12-10,41
2021-12-11,2
2021-12-12,4
2021-12-13,30
2021-12-14,45
2021-12-15,30
2021-12-16,25
2021-12-17,30
2021-12-18,19
2021-12-19,12
2021-12-20,36
2021-12-21,33
2021-12-22,36
2021-12-23,37
2021-12-24,7
2021-12-25,8
2021-12-26,2
2021-12-27,38
2021-12-28,38
2021-12-29,29
2021-12-30,28
2021-12-31,37
2022-01-01,10
2022-01-02,12
2022-01-03,31
2022-01-04,75
2022-01-05,69
2022-01-06,45
2022-01-07,42
2022-01-08,16
2022-01-09,4
2022-01-10,69
2022-01-11,70
2022-01-12,21
2022-01-13,55
2022-01-14,54
2022-01-15,16
2022-01-16,11
2022-01-17,24
2022-01-18,42
2022-01-19,36
2022-01-20,34
