Date,GOOG Searches
2021-07-01,46
2021-07-02,42
2021-07-03,27
2021-07-04,34
2021-07-05,33
2021-07-06,51
2021-07-07,51
2021-07-08,48
2021-07-09,51
2021-07-10,28
2021-07-11,23
2021-07-12,52
2021-07-13,48
2021-07-14,45
2021-07-15,58
2021-07-16,43
2021-07-17,21
2021-07-18,31
2021-07-19,51
2021-07-20,54
2021-07-21,64
2021-07-22,44
2021-07-23,63
2021-07-24,44
2021-07-25,21
2021-07-26,58
2021-07-27,94
2021-07-28,93
2021-07-29,62
2021-07-30,52
2021-07-31,24
2021-08-01,16
2021-08-02,58
2021-08-03,46
2021-08-04,56
2021-08-05,53
2021-08-06,61
2021-08-07,19
2021-08-08,14
2021-08-09,48
2021-08-10,44
2021-08-11,59
2021-08-12,53
2021-08-13,51
2021-08-14,33
2021-08-15,28
2021-08-16,41
2021-08-17,47
2021-08-18,50
2021-08-19,63
2021-08-20,53
2021-08-21,23
2021-08-22,21
2021-08-23,54
2021-08-24,70
2021-08-25,44
2021-08-26,57
2021-08-27,54
2021-08-28,23
2021-08-29,17
2021-08-30,52
2021-08-31,51
2021-09-01,54
2021-09-02,55
2021-09-03,51
2021-09-04,23
2021-09-05,24
2021-09-06,24
2021-09-07,54
2021-09-08,50
2021-09-09,54
2021-09-10,45
2021-09-11,28
2021-09-12,21
2021-09-13,53
2021-09-14,42
2021-09-15,38
2021-09-16,44
2021-09-17,48
2021-09-18,22
2021-09-19,14
2021-09-20,58
2021-09-21,57
2021-09-22,63
2021-09-23,51
2021-09-24,44
2021-09-25,21
2021-09-26,24
2021-09-27,100
2021-09-28,57
2021-09-29,55
2021-09-30,51
2021-10-01,57
2021-10-02,28
2021-10-03,21
2021-10-04,82
2021-10-05,47
2021-10-06,33
2021-10-07,28
2021-10-08,38
2021-10-09,17
2021-10-10,11
2021-10-11,35
2021-10-12,36
2021-10-13,43
2021-10-14,35
2021-10-15,37
2021-10-16,16
2021-10-17,17
2021-10-18,39
2021-10-19,40
2021-10-20,38
2021-10-21,47
2021-10-22,58
2021-10-23,13
2021-10-24,17
2021-10-25,47
2021-10-26,67
2021-10-27,70
2021-10-28,57
2021-10-29,56
2021-10-30,21
2021-10-31,17
2021-11-01,43
2021-11-02,49
2021-11-03,45
2021-11-04,53
2021-11-05,53
2021-11-06,21
2021-11-07,24
2021-11-08,53
2021-11-09,53
2021-11-10,44
2021-11-11,49
2021-11-12,48
2021-11-13,18
2021-11-14,18
2021-11-15,37
2021-11-16,48
2021-11-17,36
2021-11-18,45
2021-11-19,52
2021-11-20,20
2021-11-21,22
2021-11-22,47
2021-11-23,46
2021-11-24,38
2021-11-25,21
2021-11-26,37
2021-11-27,17
2021-11-28,15
2021-11-29,44
2021-11-30,51
2021-12-01,48
2021-12-02,50
2021-12-03,45
2021-12-04,19
2021-12-05,20
2021-12-06,46
2021-12-07,47
2021-12-08,43
2021-12-09,33
2021-12-10,55
2021-12-11,24
2021-12-12,18
2021-12-13,36
2021-12-14,42
2021-12-15,46
2021-12-16,40
2021-12-17,37
2021-12-18,21
2021-12-19,15
2021-12-20,42
2021-12-21,39
2021-12-22,41
2021-12-23,39
2021-12-24,22
2021-12-25,17
2021-12-26,17
2021-12-27,33
2021-12-28,37
2021-12-29,44
2021-12-30,42
2021-12-31,34
2022-01-01,22
2022-01-02,18
2022-01-03,46
2022-01-04,44
2022-01-05,48
2022-01-06,45
2022-01-07,48
2022-01-08,24
2022-01-09,17
2022-01-10,49
2022-01-11,43
2022-01-12,48
2022-01-13,47
2022-01-14,32
2022-01-15,13
2022-01-16,19
2022-01-17,24
2022-01-18,36
2022-01-19,32
2022-01-20,29
