Day,INTC Searches
2021-07-01,24
2021-07-02,25
2021-07-03,14
2021-07-04,4
2021-07-05,7
2021-07-06,26
2021-07-07,27
2021-07-08,29
2021-07-09,36
2021-07-10,9
2021-07-11,4
2021-07-12,24
2021-07-13,26
2021-07-14,24
2021-07-15,26
2021-07-16,37
2021-07-17,13
2021-07-18,2
2021-07-19,23
2021-07-20,33
2021-07-21,30
2021-07-22,60
2021-07-23,78
2021-07-24,15
2021-07-25,7
2021-07-26,40
2021-07-27,57
2021-07-28,29
2021-07-29,50
2021-07-30,27
2021-07-31,13
2021-08-01,5
2021-08-02,22
2021-08-03,43
2021-08-04,21
2021-08-05,21
2021-08-06,23
2021-08-07,7
2021-08-08,5
2021-08-09,24
2021-08-10,31
2021-08-11,11
2021-08-12,26
2021-08-13,17
2021-08-14,4
2021-08-15,7
2021-08-16,18
2021-08-17,27
2021-08-18,27
2021-08-19,24
2021-08-20,24
2021-08-21,5
2021-08-22,9
2021-08-23,28
2021-08-24,36
2021-08-25,24
2021-08-26,23
2021-08-27,28
2021-08-28,7
2021-08-29,9
2021-08-30,43
2021-08-31,25
2021-09-01,36
2021-09-02,22
2021-09-03,20
2021-09-04,10
2021-09-05,2
2021-09-06,5
2021-09-07,29
2021-09-08,21
2021-09-09,19
2021-09-10,11
2021-09-11,6
2021-09-12,4
2021-09-13,33
2021-09-14,33
2021-09-15,16
2021-09-16,16
2021-09-17,27
2021-09-18,13
2021-09-19,6
2021-09-20,27
2021-09-21,24
2021-09-22,25
2021-09-23,33
2021-09-24,20
2021-09-25,4
2021-09-26,10
2021-09-27,15
2021-09-28,23
2021-09-29,22
2021-09-30,14
2021-10-01,27
2021-10-02,4
2021-10-03,17
2021-10-04,18
2021-10-05,16
2021-10-06,15
2021-10-07,15
2021-10-08,19
2021-10-09,8
2021-10-10,7
2021-10-11,21
2021-10-12,18
2021-10-13,19
2021-10-14,19
2021-10-15,19
2021-10-16,12
2021-10-17,4
2021-10-18,22
2021-10-19,30
2021-10-20,22
2021-10-21,59
2021-10-22,100
2021-10-23,20
2021-10-24,9
2021-10-25,39
2021-10-26,47
2021-10-27,32
2021-10-28,41
2021-10-29,35
2021-10-30,8
2021-10-31,16
2021-11-01,25
2021-11-02,43
2021-11-03,29
2021-11-04,39
2021-11-05,47
2021-11-06,12
2021-11-07,5
2021-11-08,37
2021-11-09,30
2021-11-10,20
2021-11-11,32
2021-11-12,28
2021-11-13,9
2021-11-14,5
2021-11-15,27
2021-11-16,27
2021-11-17,30
2021-11-18,30
2021-11-19,24
2021-11-20,4
2021-11-21,6
2021-11-22,21
2021-11-23,28
2021-11-24,28
2021-11-25,15
2021-11-26,18
2021-11-27,8
2021-11-28,2
2021-11-29,30
2021-11-30,27
2021-12-01,36
2021-12-02,27
2021-12-03,23
2021-12-04,8
2021-12-05,1
2021-12-06,33
2021-12-07,89
2021-12-08,39
2021-12-09,38
2021-12-10,34
2021-12-11,12
2021-12-12,4
2021-12-13,21
2021-12-14,31
2021-12-15,30
2021-12-16,25
2021-12-17,23
2021-12-18,12
2021-12-19,6
2021-12-20,29
2021-12-21,25
2021-12-22,31
2021-12-23,33
2021-12-24,12
2021-12-25,0
2021-12-26,6
2021-12-27,21
2021-12-28,25
2021-12-29,31
2021-12-30,15
2021-12-31,10
2022-01-01,0
2022-01-02,14
2022-01-03,26
2022-01-04,25
2022-01-05,49
2022-01-06,36
2022-01-07,28
2022-01-08,17
2022-01-09,10
2022-01-10,38
2022-01-11,58
2022-01-12,35
2022-01-13,34
2022-01-14,33
2022-01-15,20
2022-01-16,8
2022-01-17,16
2022-01-18,32
2022-01-19,29
2022-01-20,25
