Date,MSFT Searches
2021-07-01,41
2021-07-02,55
2021-07-03,20
2021-07-04,7
2021-07-05,16
2021-07-06,62
2021-07-07,48
2021-07-08,46
2021-07-09,41
2021-07-10,9
2021-07-11,7
2021-07-12,42
2021-07-13,49
2021-07-14,56
2021-07-15,50
2021-07-16,33
2021-07-17,11
2021-07-18,7
2021-07-19,54
2021-07-20,40
2021-07-21,40
2021-07-22,62
2021-07-23,51
2021-07-24,12
2021-07-25,7
2021-07-26,51
2021-07-27,100
2021-07-28,85
2021-07-29,50
2021-07-30,50
2021-07-31,17
2021-08-01,8
2021-08-02,45
2021-08-03,45
2021-08-04,43
2021-08-05,47
2021-08-06,44
2021-08-07,10
2021-08-08,5
2021-08-09,30
2021-08-10,31
2021-08-11,35
2021-08-12,28
2021-08-13,39
2021-08-14,13
2021-08-15,8
2021-08-16,36
2021-08-17,38
2021-08-18,34
2021-08-19,35
2021-08-20,58
2021-08-21,18
2021-08-22,10
2021-08-23,47
2021-08-24,57
2021-08-25,39
2021-08-26,36
2021-08-27,44
2021-08-28,11
2021-08-29,4
2021-08-30,43
2021-08-31,35
2021-09-01,36
2021-09-02,43
2021-09-03,39
2021-09-04,6
2021-09-05,5
2021-09-06,11
2021-09-07,26
2021-09-08,27
2021-09-09,29
2021-09-10,35
2021-09-11,12
2021-09-12,8
2021-09-13,46
2021-09-14,35
2021-09-15,57
2021-09-16,43
2021-09-17,35
2021-09-18,7
2021-09-19,14
2021-09-20,37
2021-09-21,36
2021-09-22,43
2021-09-23,33
2021-09-24,36
2021-09-25,9
2021-09-26,5
2021-09-27,27
2021-09-28,52
2021-09-29,48
2021-09-30,47
2021-10-01,37
2021-10-02,9
2021-10-03,8
2021-10-04,39
2021-10-05,38
2021-10-06,33
2021-10-07,34
2021-10-08,36
2021-10-09,9
2021-10-10,7
2021-10-11,27
2021-10-12,26
2021-10-13,31
2021-10-14,32
2021-10-15,34
2021-10-16,9
2021-10-17,9
2021-10-18,34
2021-10-19,38
2021-10-20,33
2021-10-21,42
2021-10-22,29
2021-10-23,14
2021-10-24,4
2021-10-25,37
2021-10-26,72
2021-10-27,89
2021-10-28,51
2021-10-29,54
2021-10-30,15
2021-10-31,14
2021-11-01,51
2021-11-02,43
2021-11-03,58
2021-11-04,48
2021-11-05,44
2021-11-06,10
2021-11-07,9
2021-11-08,39
2021-11-09,40
2021-11-10,45
2021-11-11,39
2021-11-12,44
2021-11-13,7
2021-11-14,8
2021-11-15,31
2021-11-16,37
2021-11-17,31
2021-11-18,33
2021-11-19,49
2021-11-20,11
2021-11-21,8
2021-11-22,32
2021-11-23,32
2021-11-24,31
2021-11-25,11
2021-11-26,31
2021-11-27,11
2021-11-28,10
2021-11-29,44
2021-11-30,36
2021-12-01,42
2021-12-02,40
2021-12-03,34
2021-12-04,14
2021-12-05,4
2021-12-06,33
2021-12-07,32
2021-12-08,46
2021-12-09,38
2021-12-10,44
2021-12-11,15
2021-12-12,11
2021-12-13,36
2021-12-14,58
2021-12-15,37
2021-12-16,40
2021-12-17,39
2021-12-18,12
2021-12-19,6
2021-12-20,46
2021-12-21,33
2021-12-22,37
2021-12-23,39
2021-12-24,12
2021-12-25,6
2021-12-26,6
2021-12-27,40
2021-12-28,39
2021-12-29,48
2021-12-30,46
2021-12-31,29
2022-01-01,8
2022-01-02,7
2022-01-03,37
2022-01-04,46
2022-01-05,45
2022-01-06,43
2022-01-07,46
2022-01-08,9
2022-01-09,6
2022-01-10,45
2022-01-11,42
2022-01-12,38
2022-01-13,40
2022-01-14,43
2022-01-15,13
2022-01-16,12
2022-01-17,19
2022-01-18,33
2022-01-19,30
2022-01-20,27
